Place Key,Location Key,City,State/Region,Country,Timezone,Geoname ID,Event Family,Event Name,Event Type,Condition Code,Cycle Anchor,Completeness Status,Date,Action Role,Special Events,Special Event Details,Note,Message,Source Module,Rule Version
geoname:2179537,geoname:2179537|city:wellington,Wellington,Wellington,New Zealand,Pacific/Auckland,2179537,ANANTA_CHATURDASHI,Ananta Chaturdashi,STANDARD_MONTH_FESTIVAL,MONTH_PANCHANG_DISCOVERY_DATE,2026-09-25,COMPLETE,2026-09-25,OBSERVANCE,Ananta Chaturdashi,,,Ananta Chaturdashi is observed today.,standard_festival_engine.py,ANANTA_CHATURDASHI_V1_0_MONTH_DISCOVERY
geoname:2192362,geoname:2192362|city:christchurch,Christchurch,Canterbury,New Zealand,Pacific/Auckland,2192362,ANANTA_CHATURDASHI,Ananta Chaturdashi,STANDARD_MONTH_FESTIVAL,MONTH_PANCHANG_DISCOVERY_DATE,2026-09-25,COMPLETE,2026-09-25,OBSERVANCE,Ananta Chaturdashi,,,Ananta Chaturdashi is observed today.,standard_festival_engine.py,ANANTA_CHATURDASHI_V1_0_MONTH_DISCOVERY
geoname:1279290,geoname:1279290|city:agartala,Agartala,Tripura,India,Asia/Kolkata,1279290,ANANTA_CHATURDASHI,Ananta Chaturdashi,STANDARD_MONTH_FESTIVAL,MONTH_PANCHANG_DISCOVERY_DATE,2026-09-25,COMPLETE,2026-09-25,OBSERVANCE,Ananta Chaturdashi,,,Ananta Chaturdashi is observed today.,standard_festival_engine.py,ANANTA_CHATURDASHI_V1_0_MONTH_DISCOVERY
geoname:1271476,geoname:1271476|city:guwahati,Guwahati,Assam,India,Asia/Kolkata,1271476,ANANTA_CHATURDASHI,Ananta Chaturdashi,STANDARD_MONTH_FESTIVAL,MONTH_PANCHANG_DISCOVERY_DATE,2026-09-25,COMPLETE,2026-09-25,OBSERVANCE,Ananta Chaturdashi,,,Ananta Chaturdashi is observed today.,standard_festival_engine.py,ANANTA_CHATURDASHI_V1_0_MONTH_DISCOVERY
geoname:1256525,geoname:1256525|city:shiliguri,Shiliguri,West Bengal,India,Asia/Kolkata,1256525,ANANTA_CHATURDASHI,Ananta Chaturdashi,STANDARD_MONTH_FESTIVAL,MONTH_PANCHANG_DISCOVERY_DATE,2026-09-25,COMPLETE,2026-09-25,OBSERVANCE,Ananta Chaturdashi,,,Ananta Chaturdashi is observed today.,standard_festival_engine.py,ANANTA_CHATURDASHI_V1_0_MONTH_DISCOVERY
geoname:1279186,geoname:1279186|city:aizawl,Aizawl,Mizoram,India,Asia/Kolkata,1279186,ANANTA_CHATURDASHI,Ananta Chaturdashi,STANDARD_MONTH_FESTIVAL,MONTH_PANCHANG_DISCOVERY_DATE,2026-09-25,COMPLETE,2026-09-25,OBSERVANCE,Ananta Chaturdashi,,,Ananta Chaturdashi is observed today.,standard_festival_engine.py,ANANTA_CHATURDASHI_V1_0_MONTH_DISCOVERY
geoname:1271631,geoname:1271631|city:gangtok,Gangtok,Sikkim,India,Asia/Kolkata,1271631,ANANTA_CHATURDASHI,Ananta Chaturdashi,STANDARD_MONTH_FESTIVAL,MONTH_PANCHANG_DISCOVERY_DATE,2026-09-25,COMPLETE,2026-09-25,OBSERVANCE,Ananta Chaturdashi,,,Ananta Chaturdashi is observed today.,standard_festival_engine.py,ANANTA_CHATURDASHI_V1_0_MONTH_DISCOVERY
geoname:1256287,geoname:1256287|city:silchar,Silchar,Assam,India,Asia/Kolkata,1256287,ANANTA_CHATURDASHI,Ananta Chaturdashi,STANDARD_MONTH_FESTIVAL,MONTH_PANCHANG_DISCOVERY_DATE,2026-09-25,COMPLETE,2026-09-25,OBSERVANCE,Ananta Chaturdashi,,,Ananta Chaturdashi is observed today.,standard_festival_engine.py,ANANTA_CHATURDASHI_V1_0_MONTH_DISCOVERY
geoname:1272648,geoname:1272648|city:dibrugarh,Dibrugarh,Assam,India,Asia/Kolkata,1272648,ANANTA_CHATURDASHI,Ananta Chaturdashi,STANDARD_MONTH_FESTIVAL,MONTH_PANCHANG_DISCOVERY_DATE,2026-09-25,COMPLETE,2026-09-25,OBSERVANCE,Ananta Chaturdashi,,,Ananta Chaturdashi is observed today.,standard_festival_engine.py,ANANTA_CHATURDASHI_V1_0_MONTH_DISCOVERY
geoname:1269771,geoname:1269771|city:imphal,Imphal,Manipur,India,Asia/Kolkata,1269771,ANANTA_CHATURDASHI,Ananta Chaturdashi,STANDARD_MONTH_FESTIVAL,MONTH_PANCHANG_DISCOVERY_DATE,2026-09-25,COMPLETE,2026-09-25,OBSERVANCE,Ananta Chaturdashi,,,Ananta Chaturdashi is observed today.,standard_festival_engine.py,ANANTA_CHATURDASHI_V1_0_MONTH_DISCOVERY
