Place Key,Location Key,City,State/Region,Country,Timezone,Geoname ID,Event Family,Event Name,Event Type,Condition Code,Cycle Anchor,Completeness Status,Date,Action Role,Special Events,Special Event Details,Note,Message,Source Module,Rule Version
geoname:2193733,geoname:2193733|city:auckland,Auckland,Auckland,New Zealand,Pacific/Auckland,2193733,SANKRAMANA,Tula Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-10-18,COMPLETE,2026-10-18,OBSERVANCE,Tula Sankranti,Tula Sankranti Moment - 03:27 AM | Tula Sankranti Punya Kala - 06:33 AM to 01:06 PM | Tula Sankranti Maha Punya Kala - 06:33 AM to 08:44 AM,,Tula Sankranti. Tula Sankranti Moment - 03:27 AM | Tula Sankranti Punya Kala - 06:33 AM to 01:06 PM | Tula Sankranti Maha Punya Kala - 06:33 AM to 08:44 AM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:2179537,geoname:2179537|city:wellington,Wellington,Wellington,New Zealand,Pacific/Auckland,2179537,SANKRAMANA,Tula Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-10-18,COMPLETE,2026-10-18,OBSERVANCE,Tula Sankranti,Tula Sankranti Moment - 03:27 AM | Tula Sankranti Punya Kala - 06:28 AM to 01:06 PM | Tula Sankranti Maha Punya Kala - 06:28 AM to 08:41 AM,,Tula Sankranti. Tula Sankranti Moment - 03:27 AM | Tula Sankranti Punya Kala - 06:28 AM to 01:06 PM | Tula Sankranti Maha Punya Kala - 06:28 AM to 08:41 AM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:2192362,geoname:2192362|city:christchurch,Christchurch,Canterbury,New Zealand,Pacific/Auckland,2192362,SANKRAMANA,Tula Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-10-18,COMPLETE,2026-10-18,OBSERVANCE,Tula Sankranti,Tula Sankranti Moment - 03:27 AM | Tula Sankranti Punya Kala - 06:34 AM to 01:15 PM | Tula Sankranti Maha Punya Kala - 06:34 AM to 08:47 AM,,Tula Sankranti. Tula Sankranti Moment - 03:27 AM | Tula Sankranti Punya Kala - 06:34 AM to 01:15 PM | Tula Sankranti Maha Punya Kala - 06:34 AM to 08:47 AM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:1279290,geoname:1279290|city:agartala,Agartala,Tripura,India,Asia/Kolkata,1279290,SANKRAMANA,Tula Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-10-17,COMPLETE,2026-10-17,OBSERVANCE,Tula Sankranti,Tula Sankranti Moment - 07:57 PM | Tula Sankranti Punya Kala - 11:10 AM to 04:57 PM | Tula Sankranti Maha Punya Kala - 03:01 PM to 04:57 PM,,Tula Sankranti. Tula Sankranti Moment - 07:57 PM | Tula Sankranti Punya Kala - 11:10 AM to 04:57 PM | Tula Sankranti Maha Punya Kala - 03:01 PM to 04:57 PM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:1271476,geoname:1271476|city:guwahati,Guwahati,Assam,India,Asia/Kolkata,1271476,SANKRAMANA,Tula Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-10-17,COMPLETE,2026-10-17,OBSERVANCE,Tula Sankranti,Tula Sankranti Moment - 07:57 PM | Tula Sankranti Punya Kala - 11:08 AM to 04:53 PM | Tula Sankranti Maha Punya Kala - 02:58 PM to 04:53 PM,,Tula Sankranti. Tula Sankranti Moment - 07:57 PM | Tula Sankranti Punya Kala - 11:08 AM to 04:53 PM | Tula Sankranti Maha Punya Kala - 02:58 PM to 04:53 PM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:1256525,geoname:1256525|city:shiliguri,Shiliguri,West Bengal,India,Asia/Kolkata,1256525,SANKRAMANA,Tula Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-10-17,COMPLETE,2026-10-17,OBSERVANCE,Tula Sankranti,Tula Sankranti Moment - 07:57 PM | Tula Sankranti Punya Kala - 11:21 AM to 05:06 PM | Tula Sankranti Maha Punya Kala - 03:11 PM to 05:06 PM,,Tula Sankranti. Tula Sankranti Moment - 07:57 PM | Tula Sankranti Punya Kala - 11:21 AM to 05:06 PM | Tula Sankranti Maha Punya Kala - 03:11 PM to 05:06 PM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:1279186,geoname:1279186|city:aizawl,Aizawl,Mizoram,India,Asia/Kolkata,1279186,SANKRAMANA,Tula Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-10-17,COMPLETE,2026-10-17,OBSERVANCE,Tula Sankranti,Tula Sankranti Moment - 07:57 PM | Tula Sankranti Punya Kala - 11:04 AM to 04:52 PM | Tula Sankranti Maha Punya Kala - 02:56 PM to 04:52 PM,,Tula Sankranti. Tula Sankranti Moment - 07:57 PM | Tula Sankranti Punya Kala - 11:04 AM to 04:52 PM | Tula Sankranti Maha Punya Kala - 02:56 PM to 04:52 PM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:1271631,geoname:1271631|city:gangtok,Gangtok,Sikkim,India,Asia/Kolkata,1271631,SANKRAMANA,Tula Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-10-17,COMPLETE,2026-10-17,OBSERVANCE,Tula Sankranti,Tula Sankranti Moment - 07:57 PM | Tula Sankranti Punya Kala - 11:21 AM to 05:05 PM | Tula Sankranti Maha Punya Kala - 03:10 PM to 05:05 PM,,Tula Sankranti. Tula Sankranti Moment - 07:57 PM | Tula Sankranti Punya Kala - 11:21 AM to 05:05 PM | Tula Sankranti Maha Punya Kala - 03:10 PM to 05:05 PM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:1256287,geoname:1256287|city:silchar,Silchar,Assam,India,Asia/Kolkata,1256287,SANKRAMANA,Tula Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-10-17,COMPLETE,2026-10-17,OBSERVANCE,Tula Sankranti,Tula Sankranti Moment - 07:57 PM | Tula Sankranti Punya Kala - 11:04 AM to 04:50 PM | Tula Sankranti Maha Punya Kala - 02:55 PM to 04:50 PM,,Tula Sankranti. Tula Sankranti Moment - 07:57 PM | Tula Sankranti Punya Kala - 11:04 AM to 04:50 PM | Tula Sankranti Maha Punya Kala - 02:55 PM to 04:50 PM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:1272648,geoname:1272648|city:dibrugarh,Dibrugarh,Assam,India,Asia/Kolkata,1272648,SANKRAMANA,Tula Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-10-17,COMPLETE,2026-10-17,OBSERVANCE,Tula Sankranti,Tula Sankranti Moment - 07:57 PM | Tula Sankranti Punya Kala - 10:56 AM to 04:40 PM | Tula Sankranti Maha Punya Kala - 02:45 PM to 04:40 PM,,Tula Sankranti. Tula Sankranti Moment - 07:57 PM | Tula Sankranti Punya Kala - 10:56 AM to 04:40 PM | Tula Sankranti Maha Punya Kala - 02:45 PM to 04:40 PM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:1269771,geoname:1269771|city:imphal,Imphal,Manipur,India,Asia/Kolkata,1269771,SANKRAMANA,Tula Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-10-17,COMPLETE,2026-10-17,OBSERVANCE,Tula Sankranti,Tula Sankranti Moment - 07:57 PM | Tula Sankranti Punya Kala - 10:59 AM to 04:46 PM | Tula Sankranti Maha Punya Kala - 02:50 PM to 04:46 PM,,Tula Sankranti. Tula Sankranti Moment - 07:57 PM | Tula Sankranti Punya Kala - 10:59 AM to 04:46 PM | Tula Sankranti Maha Punya Kala - 02:50 PM to 04:46 PM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:1272552,geoname:1272552|city:dimapur,Dimapur,Nagaland,India,Asia/Kolkata,1272552,SANKRAMANA,Tula Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-10-17,COMPLETE,2026-10-17,OBSERVANCE,Tula Sankranti,Tula Sankranti Moment - 07:57 PM | Tula Sankranti Punya Kala - 11:00 AM to 04:46 PM | Tula Sankranti Maha Punya Kala - 02:51 PM to 04:46 PM,,Tula Sankranti. Tula Sankranti Moment - 07:57 PM | Tula Sankranti Punya Kala - 11:00 AM to 04:46 PM | Tula Sankranti Maha Punya Kala - 02:51 PM to 04:46 PM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
