Month,Place Key,Location Key,City,State/Region,Country,Timezone,Geoname ID,Displayed Date,Displayed Day,Displayed Weekday,Observed Festival,Normalized Festival,Matched Pattern,Canonical Festival,Engine,Discovery Enabled,Execution Enabled,Display Priority,Registry Notes,Drik URL,Event Detail URL,Event Link Status,Discovery Schema Version,Discovery Event Detail URL,Detail URL,Detail URL Source,City Context Established,Local Visibility,Visibility Reason,Sutak Begins,Sutak Ends,Eclipse Start,Maximum Eclipse,Eclipse End,Extracted Details,Completeness Status,Scan Error
2026-08,geoname:285787,geoname:285787|city:kuwait,Kuwait,Al Asimah,Kuwait,Asia/Kuwait,285787,2026-08-28,28,Friday,Chandra Grahan *Anshika,chandra grahan anshika,Chandra Grahan,Chandra Grahana,GRAHANA,Yes,Yes,5,Lunar-eclipse candidate; Grahana engine implemented.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=285787&date=15/08/2026,https://www.drikpanchang.com/eclipse/lunar-eclipse-date-time-duration.html?date=28/08/2026,CAPTURED,V7_EVENT_DETAIL_URL_CAPTURE,https://www.drikpanchang.com/eclipse/lunar-eclipse-date-time-duration.html?date=28/08/2026,https://www.drikpanchang.com/eclipse/lunar-eclipse-date-time-duration.html?date=28/08/2026,DISCOVERY_AFTER_CITY_CONTEXT,YES,NO,Sutak is marked Not Applicable and no local eclipse timings are shown.,Not Applicable,Not Applicable,,07:13 AM,,Sutak Begins - Not Applicable | Sutak Ends - Not Applicable,COMPLETE,
2026-08,geoname:1273865,geoname:1273865|city:coimbatore,Coimbatore,Tamil Nadu,India,Asia/Kolkata,1273865,2026-08-28,28,Friday,Chandra Grahan *Anshika,chandra grahan anshika,Chandra Grahan,Chandra Grahana,GRAHANA,Yes,Yes,5,Lunar-eclipse candidate; Grahana engine implemented.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1273865&date=15/08/2026,https://www.drikpanchang.com/eclipse/lunar-eclipse-date-time-duration.html?date=28/08/2026,CAPTURED,V7_EVENT_DETAIL_URL_CAPTURE,https://www.drikpanchang.com/eclipse/lunar-eclipse-date-time-duration.html?date=28/08/2026,https://www.drikpanchang.com/eclipse/lunar-eclipse-date-time-duration.html?date=28/08/2026,DISCOVERY_AFTER_CITY_CONTEXT,YES,NO,No Lunar Eclipse in Coimbatore,Not Applicable,Not Applicable,,09:43 AM,,Sutak Begins - Not Applicable | Sutak Ends - Not Applicable,COMPLETE,
