Month,Place Key,Location Key,City,State/Region,Country,Timezone,Geoname ID,Scan Status,Festival Count,Registry Match Count,Registry Detail URL Count,Drik URL,Discovery Schema Version,Scan Error,Scanned At
2026-08,geoname:1269771,geoname:1269771|city:imphal,Imphal,Manipur,India,Asia/Kolkata,1269771,COMPLETE,33,9,9,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1269771&date=15/08/2026,V7_EVENT_DETAIL_URL_CAPTURE,,2026-08-21T16:02:45-04:00
2026-08,geoname:1272552,geoname:1272552|city:dimapur,Dimapur,Nagaland,India,Asia/Kolkata,1272552,COMPLETE,33,9,9,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1272552&date=15/08/2026,V7_EVENT_DETAIL_URL_CAPTURE,,2026-08-21T16:03:03-04:00
2026-08,geoname:1269655,geoname:1269655|city:itanagar,Itanagar,Arunachal Pradesh,India,Asia/Kolkata,1269655,COMPLETE,33,9,9,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1269655&date=15/08/2026,V7_EVENT_DETAIL_URL_CAPTURE,,2026-08-21T16:03:20-04:00
2026-08,geoname:1264521,geoname:1264521|city:madurai,Madurai,Tamil Nadu,India,Asia/Kolkata,1264521,COMPLETE,32,9,9,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1264521&date=15/08/2026,V7_EVENT_DETAIL_URL_CAPTURE,,2026-08-21T16:03:40-04:00
2026-08,geoname:1265683,geoname:1265683|city:kumbakonam,Kumbakonam,Tamil Nadu,India,Asia/Kolkata,1265683,COMPLETE,28,9,9,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1265683&date=15/08/2026,V7_EVENT_DETAIL_URL_CAPTURE,,2026-08-21T16:03:57-04:00
2026-08,geoname:1274256,geoname:1274256|city:chidambaram,Chidambaram,Tamil Nadu,India,Asia/Kolkata,1274256,COMPLETE,28,9,9,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1274256&date=15/08/2026,V7_EVENT_DETAIL_URL_CAPTURE,,2026-08-21T16:04:14-04:00
2026-08,geoname:1268159,geoname:1268159|city:kanchipuram,Kanchipuram,Tamil Nadu,India,Asia/Kolkata,1268159,COMPLETE,33,9,9,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1268159&date=15/08/2026,V7_EVENT_DETAIL_URL_CAPTURE,,2026-08-21T16:04:33-04:00
2026-08,geoname:1254388,geoname:1254388|city:srirangam,Srirangam,Tamil Nadu,India,Asia/Kolkata,1254388,COMPLETE,32,9,9,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1254388&date=15/08/2026,V7_EVENT_DETAIL_URL_CAPTURE,,2026-08-21T16:04:49-04:00
2026-08,geoname:1270603,geoname:1270603|city:guruvayur,Guruvayur,Kerala,India,Asia/Kolkata,1270603,COMPLETE,32,9,9,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1270603&date=15/08/2026,V7_EVENT_DETAIL_URL_CAPTURE,,2026-08-21T16:05:06-04:00
2026-08,geoname:1260546,geoname:1260546|city:pandharpur,Pandharpur,Maharashtra,India,Asia/Kolkata,1260546,COMPLETE,33,9,9,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1260546&date=15/08/2026,V7_EVENT_DETAIL_URL_CAPTURE,,2026-08-21T16:05:22-04:00
2026-08,geoname:1266285,geoname:1266285|city:kolhapur,Kolhapur,Maharashtra,India,Asia/Kolkata,1266285,COMPLETE,33,9,9,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1266285&date=15/08/2026,V7_EVENT_DETAIL_URL_CAPTURE,,2026-08-21T16:05:39-04:00
2026-08,geoname:1262180,geoname:1262180|city:nagpur,Nagpur,Maharashtra,India,Asia/Kolkata,1262180,COMPLETE,33,9,9,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1262180&date=15/08/2026,V7_EVENT_DETAIL_URL_CAPTURE,,2026-08-21T16:05:56-04:00
2026-08,geoname:1253102,geoname:1253102|city:visakhapatnam,Visakhapatnam,Andra Pradesh,India,Asia/Kolkata,1253102,COMPLETE,33,9,9,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253102&date=15/08/2026,V7_EVENT_DETAIL_URL_CAPTURE,,2026-08-21T16:06:13-04:00
2026-08,geoname:292223,geoname:292223|city:dubai,Dubai,Dubai,United Arab Emirates,Asia/Dubai,292223,COMPLETE,32,8,8,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=292223&date=15/08/2026,V7_EVENT_DETAIL_URL_CAPTURE,,2026-08-21T16:06:34-04:00
2026-08,geoname:290030,geoname:290030|city:doha,Doha,Baladīyat ad Dawḩah,Qatar,Asia/Qatar,290030,COMPLETE,32,8,8,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=290030&date=15/08/2026,V7_EVENT_DETAIL_URL_CAPTURE,,2026-08-21T16:06:52-04:00
