Place Key,City,State/Region,Country,Timezone,Geoname ID,Ekadashi Name,Ekadashi Type,Condition Code,Upavaasa Date 1,Upavaasa Date 2,Parana Date,Parana Start,Parana End,Parana Branch,Parana Tithi Rule,Hari Vasara End,Cycle Anchor,Completeness Status,Date,Action Role,Special Events,Special Event Details,Note,Message
geoname:1273865,Coimbatore,Tamil Nadu,India,Asia/Kolkata,1273865,Shravana Putrada Ekadashi,Dwadashi Dwaya,DWADASHI_DWAYA,2026-08-23,2026-08-24,2026-08-25,06:12 AM,06:20 AM,POST_DWADASHI_FAST_DWADASHI_ENDS_IN_PRATAH,POST_DWADASHI_UPAVASA,10:49 AM,2026-08-23,COMPLETE,2026-08-23,UPAVASA_DAY_1,Shravana Putrada Ekadashi,"Upavaasa: 23-Aug-26 and 24-Aug-26 | Parana: 25-Aug-26, 06:12 AM to 06:20 AM",A valid Ekadashi sunrise is followed by Dwadashi at two consecutive sunrises. **Observe Upavaasa today and continue tomorrow.**,"Shravana Putrada Ekadashi. A valid Ekadashi sunrise is followed by Dwadashi at two consecutive sunrises. Observe Upavaasa today and continue tomorrow. Upavaasa: 23-Aug-26 and 24-Aug-26 | Parana: 25-Aug-26, 06:12 AM to 06:20 AM"
geoname:285787,Kuwait,Al Asimah,Kuwait,Asia/Kuwait,285787,Shravana Putrada Ekadashi,Normal Ekadashi,NORMAL,2026-08-23,,2026-08-24,01:08 PM,03:43 PM,APARAHNA,DWADASHI,08:19 AM,2026-08-23,COMPLETE,2026-08-23,UPAVASA_DAY_1,Shravana Putrada Ekadashi,"Upavaasa: 23-Aug-26 | Parana: 24-Aug-26, 01:08 PM to 03:43 PM",Normal Ekadashi. **Observe Upavaasa today.** Ekadashi began before Arunodaya and no two-day exception applies.,"Shravana Putrada Ekadashi. Normal Ekadashi. Observe Upavaasa today. Ekadashi began before Arunodaya and no two-day exception applies. Upavaasa: 23-Aug-26 | Parana: 24-Aug-26, 01:08 PM to 03:43 PM"
geoname:1273865,Coimbatore,Tamil Nadu,India,Asia/Kolkata,1273865,Shravana Putrada Ekadashi,Dwadashi Dwaya,DWADASHI_DWAYA,2026-08-23,2026-08-24,2026-08-25,06:12 AM,06:20 AM,POST_DWADASHI_FAST_DWADASHI_ENDS_IN_PRATAH,POST_DWADASHI_UPAVASA,10:49 AM,2026-08-23,COMPLETE,2026-08-24,UPAVASA_DAY_2,Shravana Putrada Ekadashi,"Upavaasa: 23-Aug-26 and 24-Aug-26 | Parana: 25-Aug-26, 06:12 AM to 06:20 AM",Dwadashi continues through another sunrise in this Dwadashi Dwaya cycle. **Continue the Upavaasa today.** This is the second day of the two-day Upavaasa.,"Shravana Putrada Ekadashi. Dwadashi continues through another sunrise in this Dwadashi Dwaya cycle. Continue the Upavaasa today. This is the second day of the two-day Upavaasa. Upavaasa: 23-Aug-26 and 24-Aug-26 | Parana: 25-Aug-26, 06:12 AM to 06:20 AM"
geoname:285787,Kuwait,Al Asimah,Kuwait,Asia/Kuwait,285787,Shravana Putrada Ekadashi,Normal Ekadashi,NORMAL,2026-08-23,,2026-08-24,01:08 PM,03:43 PM,APARAHNA,DWADASHI,08:19 AM,2026-08-23,COMPLETE,2026-08-24,PARANA,Shravana Putrada Ekadashi,Upavaasa: 23-Aug-26 | Parana today: 01:08 PM to 03:43 PM,**Perform Parana today** between 01:08 PM and 03:43 PM. Upavaasa was observed on 23-Aug-26.,Shravana Putrada Ekadashi. Perform Parana today between 01:08 PM and 03:43 PM. Upavaasa was observed on 23-Aug-26. Upavaasa: 23-Aug-26 | Parana today: 01:08 PM to 03:43 PM
geoname:1273865,Coimbatore,Tamil Nadu,India,Asia/Kolkata,1273865,Shravana Putrada Ekadashi,Dwadashi Dwaya,DWADASHI_DWAYA,2026-08-23,2026-08-24,2026-08-25,06:12 AM,06:20 AM,POST_DWADASHI_FAST_DWADASHI_ENDS_IN_PRATAH,POST_DWADASHI_UPAVASA,10:49 AM,2026-08-23,COMPLETE,2026-08-25,PARANA,Shravana Putrada Ekadashi,Upavaasa: 23-Aug-26 and 24-Aug-26 | Parana today: 06:12 AM to 06:20 AM,**Perform Parana today** between 06:12 AM and 06:20 AM. Upavaasa was observed on 23-Aug-26 and 24-Aug-26.,Shravana Putrada Ekadashi. Perform Parana today between 06:12 AM and 06:20 AM. Upavaasa was observed on 23-Aug-26 and 24-Aug-26. Upavaasa: 23-Aug-26 and 24-Aug-26 | Parana today: 06:12 AM to 06:20 AM
