Place Key,Location Key,City,State/Region,Country,Timezone,Geoname ID,Event Family,Event Name,Event Type,Condition Code,Cycle Anchor,Completeness Status,Date,Action Role,Special Events,Special Event Details,Note,Message,Source Module,Rule Version
geoname:2193733,geoname:2193733|city:auckland,Auckland,Auckland,New Zealand,Pacific/Auckland,2193733,SANKRAMANA,Kanya Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-09-17,COMPLETE,2026-09-17,OBSERVANCE,Kanya Sankranti,Kanya Sankranti Moment - 02:28 PM | Kanya Sankranti Punya Kala - 02:28 PM to 06:13 PM | Kanya Sankranti Maha Punya Kala - 02:28 PM to 04:27 PM,,Kanya Sankranti. Kanya Sankranti Moment - 02:28 PM | Kanya Sankranti Punya Kala - 02:28 PM to 06:13 PM | Kanya Sankranti Maha Punya Kala - 02:28 PM to 04:27 PM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:2179537,geoname:2179537|city:wellington,Wellington,Wellington,New Zealand,Pacific/Auckland,2179537,SANKRAMANA,Kanya Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-09-17,COMPLETE,2026-09-17,OBSERVANCE,Kanya Sankranti,Kanya Sankranti Moment - 02:28 PM | Kanya Sankranti Punya Kala - 02:28 PM to 06:12 PM | Kanya Sankranti Maha Punya Kala - 02:28 PM to 04:27 PM,,Kanya Sankranti. Kanya Sankranti Moment - 02:28 PM | Kanya Sankranti Punya Kala - 02:28 PM to 06:12 PM | Kanya Sankranti Maha Punya Kala - 02:28 PM to 04:27 PM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:2192362,geoname:2192362|city:christchurch,Christchurch,Canterbury,New Zealand,Pacific/Auckland,2192362,SANKRAMANA,Kanya Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-09-17,COMPLETE,2026-09-17,OBSERVANCE,Kanya Sankranti,Kanya Sankranti Moment - 02:28 PM | Kanya Sankranti Punya Kala - 02:28 PM to 06:20 PM | Kanya Sankranti Maha Punya Kala - 02:28 PM to 04:27 PM,,Kanya Sankranti. Kanya Sankranti Moment - 02:28 PM | Kanya Sankranti Punya Kala - 02:28 PM to 06:20 PM | Kanya Sankranti Maha Punya Kala - 02:28 PM to 04:27 PM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:1279290,geoname:1279290|city:agartala,Agartala,Tripura,India,Asia/Kolkata,1279290,SANKRAMANA,Kanya Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-09-17,COMPLETE,2026-09-17,OBSERVANCE,Kanya Sankranti,Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:30 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:01 AM,,Kanya Sankranti. Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:30 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:01 AM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:1271476,geoname:1271476|city:guwahati,Guwahati,Assam,India,Asia/Kolkata,1271476,SANKRAMANA,Kanya Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-09-17,COMPLETE,2026-09-17,OBSERVANCE,Kanya Sankranti,Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:31 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:01 AM,,Kanya Sankranti. Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:31 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:01 AM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:1256525,geoname:1256525|city:shiliguri,Shiliguri,West Bengal,India,Asia/Kolkata,1256525,SANKRAMANA,Kanya Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-09-17,COMPLETE,2026-09-17,OBSERVANCE,Kanya Sankranti,Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:31 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:01 AM,,Kanya Sankranti. Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:31 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:01 AM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:1279186,geoname:1279186|city:aizawl,Aizawl,Mizoram,India,Asia/Kolkata,1279186,SANKRAMANA,Kanya Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-09-17,COMPLETE,2026-09-17,OBSERVANCE,Kanya Sankranti,Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:30 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:01 AM,,Kanya Sankranti. Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:30 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:01 AM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:1271631,geoname:1271631|city:gangtok,Gangtok,Sikkim,India,Asia/Kolkata,1271631,SANKRAMANA,Kanya Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-09-17,COMPLETE,2026-09-17,OBSERVANCE,Kanya Sankranti,Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:31 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:01 AM,,Kanya Sankranti. Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:31 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:01 AM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:1256287,geoname:1256287|city:silchar,Silchar,Assam,India,Asia/Kolkata,1256287,SANKRAMANA,Kanya Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-09-17,COMPLETE,2026-09-17,OBSERVANCE,Kanya Sankranti,Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:30 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:01 AM,,Kanya Sankranti. Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:30 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:01 AM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
geoname:1272648,geoname:1272648|city:dibrugarh,Dibrugarh,Assam,India,Asia/Kolkata,1272648,SANKRAMANA,Kanya Sankranti,SANKRAMANA,DRIK_SANKRAMANA_DETAIL,2026-09-17,COMPLETE,2026-09-17,OBSERVANCE,Kanya Sankranti,Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:31 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:01 AM,,Kanya Sankranti. Kanya Sankranti Moment - 07:58 AM | Kanya Sankranti Punya Kala - 07:58 AM to 02:31 PM | Kanya Sankranti Maha Punya Kala - 07:58 AM to 10:01 AM,sankramana_engine.py,SANKRAMANA_V2_4_CITY_CONTEXT_VALIDATED_URL_FALLBACK
