Place Key,Location Key,City,State/Region,Country,Timezone,Geoname ID,Event Family,Event Name,Event Type,Condition Code,Cycle Anchor,Completeness Status,Date,Action Role,Special Events,Special Event Details,Note,Message,Source Module,Rule Version
geoname:1279290,geoname:1279290|city:agartala,Agartala,Tripura,India,Asia/Kolkata,1279290,GRAHANA,Surya Grahan *Purna,SURYA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-12,COMPLETE,2026-08-12,NOT_APPLICABLE,Surya Grahan *Purna,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Surya Grahan *Purna. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:1271476,geoname:1271476|city:guwahati,Guwahati,Assam,India,Asia/Kolkata,1271476,GRAHANA,Surya Grahan *Purna,SURYA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-12,COMPLETE,2026-08-12,NOT_APPLICABLE,Surya Grahan *Purna,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Surya Grahan *Purna. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:1256525,geoname:1256525|city:shiliguri,Shiliguri,West Bengal,India,Asia/Kolkata,1256525,GRAHANA,Surya Grahan *Purna,SURYA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-12,COMPLETE,2026-08-12,NOT_APPLICABLE,Surya Grahan *Purna,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Surya Grahan *Purna. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:1279186,geoname:1279186|city:aizawl,Aizawl,Mizoram,India,Asia/Kolkata,1279186,GRAHANA,Surya Grahan *Purna,SURYA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-12,COMPLETE,2026-08-12,NOT_APPLICABLE,Surya Grahan *Purna,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Surya Grahan *Purna. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:1271631,geoname:1271631|city:gangtok,Gangtok,Sikkim,India,Asia/Kolkata,1271631,GRAHANA,Surya Grahan *Purna,SURYA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-12,COMPLETE,2026-08-12,NOT_APPLICABLE,Surya Grahan *Purna,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Surya Grahan *Purna. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:1256287,geoname:1256287|city:silchar,Silchar,Assam,India,Asia/Kolkata,1256287,GRAHANA,Surya Grahan *Purna,SURYA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-12,COMPLETE,2026-08-12,NOT_APPLICABLE,Surya Grahan *Purna,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Surya Grahan *Purna. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:1272648,geoname:1272648|city:dibrugarh,Dibrugarh,Assam,India,Asia/Kolkata,1272648,GRAHANA,Surya Grahan *Purna,SURYA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-13,COMPLETE,2026-08-13,NOT_APPLICABLE,Surya Grahan *Purna,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Surya Grahan *Purna. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:1269771,geoname:1269771|city:imphal,Imphal,Manipur,India,Asia/Kolkata,1269771,GRAHANA,Surya Grahan *Purna,SURYA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-13,COMPLETE,2026-08-13,NOT_APPLICABLE,Surya Grahan *Purna,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Surya Grahan *Purna. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:1272552,geoname:1272552|city:dimapur,Dimapur,Nagaland,India,Asia/Kolkata,1272552,GRAHANA,Surya Grahan *Purna,SURYA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-13,COMPLETE,2026-08-13,NOT_APPLICABLE,Surya Grahan *Purna,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Surya Grahan *Purna. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:1269655,geoname:1269655|city:itanagar,Itanagar,Arunachal Pradesh,India,Asia/Kolkata,1269655,GRAHANA,Surya Grahan *Purna,SURYA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-13,COMPLETE,2026-08-13,NOT_APPLICABLE,Surya Grahan *Purna,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Surya Grahan *Purna. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
