Place Key,Location Key,City,State/Region,Country,Timezone,Geoname ID,Event Family,Event Name,Event Type,Condition Code,Cycle Anchor,Completeness Status,Date,Action Role,Special Events,Special Event Details,Note,Message,Source Module,Rule Version
geoname:1264521,geoname:1264521|city:madurai,Madurai,Tamil Nadu,India,Asia/Kolkata,1264521,GRAHANA,Chandra Grahan *Anshika,CHANDRA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-28,COMPLETE,2026-08-28,NOT_APPLICABLE,Chandra Grahan *Anshika,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Chandra Grahan *Anshika. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:1265683,geoname:1265683|city:kumbakonam,Kumbakonam,Tamil Nadu,India,Asia/Kolkata,1265683,GRAHANA,Chandra Grahan *Anshika,CHANDRA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-28,COMPLETE,2026-08-28,NOT_APPLICABLE,Chandra Grahan *Anshika,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Chandra Grahan *Anshika. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:1274256,geoname:1274256|city:chidambaram,Chidambaram,Tamil Nadu,India,Asia/Kolkata,1274256,GRAHANA,Chandra Grahan *Anshika,CHANDRA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-28,COMPLETE,2026-08-28,NOT_APPLICABLE,Chandra Grahan *Anshika,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Chandra Grahan *Anshika. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:1268159,geoname:1268159|city:kanchipuram,Kanchipuram,Tamil Nadu,India,Asia/Kolkata,1268159,GRAHANA,Chandra Grahan *Anshika,CHANDRA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-28,COMPLETE,2026-08-28,NOT_APPLICABLE,Chandra Grahan *Anshika,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Chandra Grahan *Anshika. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:1254388,geoname:1254388|city:srirangam,Srirangam,Tamil Nadu,India,Asia/Kolkata,1254388,GRAHANA,Chandra Grahan *Anshika,CHANDRA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-28,COMPLETE,2026-08-28,NOT_APPLICABLE,Chandra Grahan *Anshika,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Chandra Grahan *Anshika. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:1270603,geoname:1270603|city:guruvayur,Guruvayur,Kerala,India,Asia/Kolkata,1270603,GRAHANA,Chandra Grahan *Anshika,CHANDRA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-28,COMPLETE,2026-08-28,NOT_APPLICABLE,Chandra Grahan *Anshika,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Chandra Grahan *Anshika. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:1260546,geoname:1260546|city:pandharpur,Pandharpur,Maharashtra,India,Asia/Kolkata,1260546,GRAHANA,Chandra Grahan *Anshika,CHANDRA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-28,COMPLETE,2026-08-28,NOT_APPLICABLE,Chandra Grahan *Anshika,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Chandra Grahan *Anshika. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:1266285,geoname:1266285|city:kolhapur,Kolhapur,Maharashtra,India,Asia/Kolkata,1266285,GRAHANA,Chandra Grahan *Anshika,CHANDRA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-28,COMPLETE,2026-08-28,NOT_APPLICABLE,Chandra Grahan *Anshika,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Chandra Grahan *Anshika. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:1262180,geoname:1262180|city:nagpur,Nagpur,Maharashtra,India,Asia/Kolkata,1262180,GRAHANA,Chandra Grahan *Anshika,CHANDRA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-28,COMPLETE,2026-08-28,NOT_APPLICABLE,Chandra Grahan *Anshika,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Chandra Grahan *Anshika. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:1253102,geoname:1253102|city:visakhapatnam,Visakhapatnam,Andra Pradesh,India,Asia/Kolkata,1253102,GRAHANA,Chandra Grahan *Anshika,CHANDRA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-28,COMPLETE,2026-08-28,NOT_APPLICABLE,Chandra Grahan *Anshika,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Chandra Grahan *Anshika. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:292223,geoname:292223|city:dubai,Dubai,Dubai,United Arab Emirates,Asia/Dubai,292223,GRAHANA,Chandra Grahan *Anshika,CHANDRA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-28,COMPLETE,2026-08-28,NOT_APPLICABLE,Chandra Grahan *Anshika,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Chandra Grahan *Anshika. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:290030,geoname:290030|city:doha,Doha,Baladīyat ad Dawḩah,Qatar,Asia/Qatar,290030,GRAHANA,Chandra Grahan *Anshika,CHANDRA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-28,COMPLETE,2026-08-28,NOT_APPLICABLE,Chandra Grahan *Anshika,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Chandra Grahan *Anshika. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:2657896,geoname:2657896|city:zurich,Zurich,Zurich,Switzerland,Europe/Zurich,2657896,GRAHANA,Chandra Grahan *Anshika,CHANDRA_GRAHANA,DRIK_LOCAL_GRAHANA_VISIBLE,2026-08-28,COMPLETE,2026-08-28,OBSERVANCE,Chandra Grahan *Anshika,"Sutak Begins - 08:16 PM, Aug 27 | Sutak Ends - 06:41 AM | Eclipse Start - 04:34 AM | Eclipse End - 06:41 AM",,"Chandra Grahan *Anshika. Sutak Begins - 08:16 PM, Aug 27 | Sutak Ends - 06:41 AM | Eclipse Start - 04:34 AM | Eclipse End - 06:41 AM",grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:2928751,geoname:2928751|city:esslingen,Esslingen,Esslingen,Germany,Europe/Berlin,2928751,GRAHANA,Chandra Grahan *Anshika,CHANDRA_GRAHANA,DRIK_LOCAL_GRAHANA_VISIBLE,2026-08-28,COMPLETE,2026-08-28,OBSERVANCE,Chandra Grahan *Anshika,"Sutak Begins - 08:15 PM, Aug 27 | Sutak Ends - 06:36 AM | Eclipse Start - 04:34 AM | Eclipse End - 06:36 AM",,"Chandra Grahan *Anshika. Sutak Begins - 08:15 PM, Aug 27 | Sutak Ends - 06:36 AM | Eclipse Start - 04:34 AM | Eclipse End - 06:36 AM",grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:1278094,geoname:1278094|city:ayodhya,Ayodhya,Uttar Pradesh,India,Asia/Kolkata,1278094,GRAHANA,Chandra Grahan *Anshika,CHANDRA_GRAHANA,DRIK_LOCAL_GRAHANA_NOT_VISIBLE,2026-08-28,COMPLETE,2026-08-28,NOT_APPLICABLE,Chandra Grahan *Anshika,Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,,Chandra Grahan *Anshika. Not Applicable - Eclipse is not locally visible; Sutak is not applicable.,grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:5131614,geoname:5131614|city:pittsford,Pittsford,New York,United States,America/New_York,5131614,GRAHANA,Chandra Grahan *Anshika,CHANDRA_GRAHANA,DRIK_LOCAL_GRAHANA_VISIBLE,2026-08-27,COMPLETE,2026-08-27,OBSERVANCE,Chandra Grahan *Anshika,"Sutak Begins - 01:11 PM | Sutak Ends - 01:51 AM, Aug 28 | Eclipse Start - 10:34 PM | Eclipse End - 01:51 AM, Aug 28",,"Chandra Grahan *Anshika. Sutak Begins - 01:11 PM | Sutak Ends - 01:51 AM, Aug 28 | Eclipse Start - 10:34 PM | Eclipse End - 01:51 AM, Aug 28",grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
geoname:5119251,geoname:5119251|city:greece,Greece,New York,United States,America/New_York,5119251,GRAHANA,Chandra Grahan *Anshika,CHANDRA_GRAHANA,DRIK_LOCAL_GRAHANA_VISIBLE,2026-08-27,COMPLETE,2026-08-27,OBSERVANCE,Chandra Grahan *Anshika,"Sutak Begins - 01:12 PM | Sutak Ends - 01:51 AM, Aug 28 | Eclipse Start - 10:34 PM | Eclipse End - 01:51 AM, Aug 28",,"Chandra Grahan *Anshika. Sutak Begins - 01:12 PM | Sutak Ends - 01:51 AM, Aug 28 | Eclipse Start - 10:34 PM | Eclipse End - 01:51 AM, Aug 28",grahana_engine.py,GRAHANA_V2_2_CITY_CONTEXT_THEN_DISCOVERY_URL
