Date,Location Key,City,State/Region,Country,Timezone,Geoname ID,Special Events,Special Event Details,Note,Snapshot Source
2026-08-08,geoname:4781708|city:richmond,Richmond,Virginia,United States,America/New_York,4781708,Kamika Ekadashi,"AruNodaya: 8 August 2026, 04:44:00 AM | Tithi start: 8 August 2026, 04:29:00 AM | Tithi end: 9 August 2026, 01:34:00 AM | Upavaasa date: 08-Aug-26 | Parana date: On 9th Aug, Parana Time - 06:48 AM to 09:06 AM | Hari Vasara end: On Parana Day Hari Vasara End Moment - 06:48 AM",,2026-08-08_EDT.txt
2026-08-08,geoname:4887398|city:chicago,Chicago,Illinois,United States,America/Chicago,4887398,Kamika Ekadashi,"AruNodaya: 8 August 2026, 04:16:00 AM | Tithi start: 8 August 2026, 03:29:00 AM | Tithi end: 9 August 2026, 12:34:00 AM | Upavaasa date: 08-Aug-26 | Parana date: On 9th Aug, Parana Time - 05:53 AM to 08:42 AM",,2026-08-08_CDT.txt
2026-08-08,geoname:4922462|city:lafayette,Lafayette,Indiana,United States,America/Indiana/Indianapolis,4922462,Kamika Ekadashi,"AruNodaya: 8 August 2026, 05:16:00 AM | Tithi start: 8 August 2026, 04:29:00 AM | Tithi end: 9 August 2026, 01:34:00 AM | Upavaasa date: 08-Aug-26 | Parana date: On 9th Aug, Parana Time - 06:53 AM to 09:41 AM",,2026-08-08_EDT.txt
2026-08-08,geoname:5099836|city:new_jersey,New Jersey,New Jersey,United States,America/New_York,5099836,,,"In the EDT time zone, Ekadashi Tithi is present at sunrise on 08 August 2026, but it did not begin before AruNodaya. Therefore, Ekadashi Upavaasa should not be observed on 08 August 2026, as it is Dashami Viddha. Kindly observe Upavaasa on 09 August 2026 and refer to the 10 August 2026 Panchanga for the Parana time.",2026-08-08_EDT.txt
2026-08-08,geoname:5110629|city:buffalo,Buffalo,New York,United States,America/New_York,5110629,Kamika Ekadashi,"AruNodaya: 8 August 2026, 04:38:00 AM | Tithi start: 8 August 2026, 04:29:00 AM | Tithi end: 9 August 2026, 01:34:00 AM | Upavaasa date: 08-Aug-26 | Parana date: On 9th Aug, Parana Time - 06:48 AM to 09:05 AM | Hari Vasara end: On Parana Day Hari Vasara End Moment - 06:48 AM",,2026-08-08_EDT.txt
2026-08-08,geoname:5119251|city:greece,Greece,New York,United States,America/New_York,5119251,Kamika Ekadashi,"AruNodaya: 8 August 2026, 04:33:00 AM | Tithi start: 8 August 2026, 04:29:00 AM | Tithi end: 9 August 2026, 01:34:00 AM | Upavaasa date: 08-Aug-26 | Parana date: On 9th Aug, Parana Time - 06:48 AM to 09:00 AM | Hari Vasara end: On Parana Day Hari Vasara End Moment - 06:48 AM",,2026-08-08_EDT.txt
2026-08-08,geoname:5128581|city:new_york,New York,New York,United States,America/New_York,5128581,,,"In the EDT time zone, Ekadashi Tithi is present at sunrise on 08 August 2026, but it did not begin before AruNodaya. Therefore, Ekadashi Upavaasa should not be observed on 08 August 2026, as it is Dashami Viddha. Kindly observe Upavaasa on 09 August 2026 and refer to the 10 August 2026 Panchanga for the Parana time.",2026-08-08_EDT.txt
2026-08-08,geoname:5131614|city:pittsford,Pittsford,New York,United States,America/New_York,5131614,Kamika Ekadashi,"AruNodaya: 8 August 2026, 04:32:00 AM | Tithi start: 8 August 2026, 04:29:00 AM | Tithi end: 9 August 2026, 01:34:00 AM | Upavaasa date: 08-Aug-26 | Parana date: On 9th Aug, Parana Time - 06:48 AM to 09:00 AM | Hari Vasara end: On Parana Day Hari Vasara End Moment - 06:48 AM",,2026-08-08_EDT.txt
2026-08-08,geoname:5134086|city:rochester,Rochester,New York,United States,America/New_York,5134086,Kamika Ekadashi,"AruNodaya: 8 August 2026, 04:33:00 AM | Tithi start: 8 August 2026, 04:29:00 AM | Tithi end: 9 August 2026, 01:34:00 AM | Upavaasa date: 08-Aug-26 | Parana date: On 9th Aug, Parana Time - 06:48 AM to 09:00 AM | Hari Vasara end: On Parana Day Hari Vasara End Moment - 06:48 AM",,2026-08-08_EDT.txt
2026-08-08,geoname:5139865|city:stonybrook,Stonybrook,New York,United States,America/New_York,5139865,,,"In the EDT time zone, Ekadashi Tithi is present at sunrise on 08 August 2026, but it did not begin before AruNodaya. Therefore, Ekadashi Upavaasa should not be observed on 08 August 2026, as it is Dashami Viddha. Kindly observe Upavaasa on 09 August 2026 and refer to the 10 August 2026 Panchanga for the Parana time.",2026-08-08_EDT.txt
