Place Key,City,State/Region,Country,Timezone,Geoname ID,Ekadashi Name,Ekadashi Type,Condition Code,Upavaasa Date 1,Upavaasa Date 2,Parana Date,Parana Start,Parana End,Parana Branch,Parana Tithi Rule,Hari Vasara End,Cycle Anchor,Completeness Status,Date,Action Role,Special Events,Special Event Details,Note,Message
geoname:1273865,Coimbatore,Tamil Nadu,India,Asia/Kolkata,1273865,Kamika Ekadashi,Normal Ekadashi,NORMAL,2026-08-09,,2026-08-10,06:12 AM,08:00 AM,PRATAH,DWADASHI,04:18 PM,2026-08-09,COMPLETE,2026-08-09,UPAVASA_DAY_1,Kamika Ekadashi,"Upavaasa: 09-Aug-26 | Parana: 10-Aug-26, 06:12 AM to 08:00 AM",Normal Ekadashi. **Observe Upavaasa today.** Ekadashi began before Arunodaya and no two-day exception applies.,"Kamika Ekadashi. Normal Ekadashi. Observe Upavaasa today. Ekadashi began before Arunodaya and no two-day exception applies. Upavaasa: 09-Aug-26 | Parana: 10-Aug-26, 06:12 AM to 08:00 AM"
geoname:285787,Kuwait,Al Asimah,Kuwait,Asia/Kuwait,285787,Kamika Ekadashi,Normal Ekadashi,NORMAL,2026-08-09,,2026-08-10,05:13 AM,05:30 AM,PRATAH,DWADASHI,01:48 PM,2026-08-09,COMPLETE,2026-08-09,UPAVASA_DAY_1,Kamika Ekadashi,"Upavaasa: 09-Aug-26 | Parana: 10-Aug-26, 05:13 AM to 05:30 AM",Normal Ekadashi. **Observe Upavaasa today.** Ekadashi began before Arunodaya and no two-day exception applies.,"Kamika Ekadashi. Normal Ekadashi. Observe Upavaasa today. Ekadashi began before Arunodaya and no two-day exception applies. Upavaasa: 09-Aug-26 | Parana: 10-Aug-26, 05:13 AM to 05:30 AM"
geoname:1273865,Coimbatore,Tamil Nadu,India,Asia/Kolkata,1273865,Kamika Ekadashi,Normal Ekadashi,NORMAL,2026-08-09,,2026-08-10,06:12 AM,08:00 AM,PRATAH,DWADASHI,04:18 PM,2026-08-09,COMPLETE,2026-08-10,PARANA,Kamika Ekadashi,Upavaasa: 09-Aug-26 | Parana today: 06:12 AM to 08:00 AM,**Perform Parana today** between 06:12 AM and 08:00 AM. Upavaasa was observed on 09-Aug-26.,Kamika Ekadashi. Perform Parana today between 06:12 AM and 08:00 AM. Upavaasa was observed on 09-Aug-26. Upavaasa: 09-Aug-26 | Parana today: 06:12 AM to 08:00 AM
geoname:285787,Kuwait,Al Asimah,Kuwait,Asia/Kuwait,285787,Kamika Ekadashi,Normal Ekadashi,NORMAL,2026-08-09,,2026-08-10,05:13 AM,05:30 AM,PRATAH,DWADASHI,01:48 PM,2026-08-09,COMPLETE,2026-08-10,PARANA,Kamika Ekadashi,Upavaasa: 09-Aug-26 | Parana today: 05:13 AM to 05:30 AM,**Perform Parana today** between 05:13 AM and 05:30 AM. Upavaasa was observed on 09-Aug-26.,Kamika Ekadashi. Perform Parana today between 05:13 AM and 05:30 AM. Upavaasa was observed on 09-Aug-26. Upavaasa: 09-Aug-26 | Parana today: 05:13 AM to 05:30 AM
