Month,Place Key,Location Key,City,State/Region,Country,Timezone,Geoname ID,Displayed Date,Displayed Day,Displayed Weekday,Observed Festival,Normalized Festival,Matched Pattern,Canonical Festival,Engine,Discovery Enabled,Execution Enabled,Display Priority,Registry Notes,Drik URL,Event Detail URL,Event Link Status,Discovery Schema Version,Selection Basis,Discovery Event Detail URL,Completeness Status
2026-08,geoname:1279290,geoname:1279290|city:agartala,Agartala,Tripura,India,Asia/Kolkata,1279290,2026-08-18,18,Tuesday,Kalki Jayanti,kalki jayanti,Kalki Jayanti,Kalki Jayanthi,KALKI_JAYANTHI,Yes,Yes,20,Distinct from Krishna Jayanthi; engine implemented.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1279290&date=15/08/2026,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,CAPTURED,V7_EVENT_DETAIL_URL_CAPTURE,City-specific festival date listed on Drik Month Panchang,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,COMPLETE
2026-08,geoname:1271476,geoname:1271476|city:guwahati,Guwahati,Assam,India,Asia/Kolkata,1271476,2026-08-18,18,Tuesday,Kalki Jayanti,kalki jayanti,Kalki Jayanti,Kalki Jayanthi,KALKI_JAYANTHI,Yes,Yes,20,Distinct from Krishna Jayanthi; engine implemented.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1271476&date=15/08/2026,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,CAPTURED,V7_EVENT_DETAIL_URL_CAPTURE,City-specific festival date listed on Drik Month Panchang,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,COMPLETE
2026-08,geoname:1256525,geoname:1256525|city:shiliguri,Shiliguri,West Bengal,India,Asia/Kolkata,1256525,2026-08-18,18,Tuesday,Kalki Jayanti,kalki jayanti,Kalki Jayanti,Kalki Jayanthi,KALKI_JAYANTHI,Yes,Yes,20,Distinct from Krishna Jayanthi; engine implemented.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1256525&date=15/08/2026,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,CAPTURED,V7_EVENT_DETAIL_URL_CAPTURE,City-specific festival date listed on Drik Month Panchang,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,COMPLETE
2026-08,geoname:1279186,geoname:1279186|city:aizawl,Aizawl,Mizoram,India,Asia/Kolkata,1279186,2026-08-18,18,Tuesday,Kalki Jayanti,kalki jayanti,Kalki Jayanti,Kalki Jayanthi,KALKI_JAYANTHI,Yes,Yes,20,Distinct from Krishna Jayanthi; engine implemented.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1279186&date=15/08/2026,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,CAPTURED,V7_EVENT_DETAIL_URL_CAPTURE,City-specific festival date listed on Drik Month Panchang,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,COMPLETE
2026-08,geoname:1271631,geoname:1271631|city:gangtok,Gangtok,Sikkim,India,Asia/Kolkata,1271631,2026-08-18,18,Tuesday,Kalki Jayanti,kalki jayanti,Kalki Jayanti,Kalki Jayanthi,KALKI_JAYANTHI,Yes,Yes,20,Distinct from Krishna Jayanthi; engine implemented.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1271631&date=15/08/2026,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,CAPTURED,V7_EVENT_DETAIL_URL_CAPTURE,City-specific festival date listed on Drik Month Panchang,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,COMPLETE
2026-08,geoname:1256287,geoname:1256287|city:silchar,Silchar,Assam,India,Asia/Kolkata,1256287,2026-08-18,18,Tuesday,Kalki Jayanti,kalki jayanti,Kalki Jayanti,Kalki Jayanthi,KALKI_JAYANTHI,Yes,Yes,20,Distinct from Krishna Jayanthi; engine implemented.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1256287&date=15/08/2026,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,CAPTURED,V7_EVENT_DETAIL_URL_CAPTURE,City-specific festival date listed on Drik Month Panchang,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,COMPLETE
2026-08,geoname:1272648,geoname:1272648|city:dibrugarh,Dibrugarh,Assam,India,Asia/Kolkata,1272648,2026-08-18,18,Tuesday,Kalki Jayanti,kalki jayanti,Kalki Jayanti,Kalki Jayanthi,KALKI_JAYANTHI,Yes,Yes,20,Distinct from Krishna Jayanthi; engine implemented.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1272648&date=15/08/2026,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,CAPTURED,V7_EVENT_DETAIL_URL_CAPTURE,City-specific festival date listed on Drik Month Panchang,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,COMPLETE
2026-08,geoname:1269771,geoname:1269771|city:imphal,Imphal,Manipur,India,Asia/Kolkata,1269771,2026-08-18,18,Tuesday,Kalki Jayanti,kalki jayanti,Kalki Jayanti,Kalki Jayanthi,KALKI_JAYANTHI,Yes,Yes,20,Distinct from Krishna Jayanthi; engine implemented.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1269771&date=15/08/2026,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,CAPTURED,V7_EVENT_DETAIL_URL_CAPTURE,City-specific festival date listed on Drik Month Panchang,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,COMPLETE
2026-08,geoname:1272552,geoname:1272552|city:dimapur,Dimapur,Nagaland,India,Asia/Kolkata,1272552,2026-08-18,18,Tuesday,Kalki Jayanti,kalki jayanti,Kalki Jayanti,Kalki Jayanthi,KALKI_JAYANTHI,Yes,Yes,20,Distinct from Krishna Jayanthi; engine implemented.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1272552&date=15/08/2026,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,CAPTURED,V7_EVENT_DETAIL_URL_CAPTURE,City-specific festival date listed on Drik Month Panchang,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,COMPLETE
2026-08,geoname:1269655,geoname:1269655|city:itanagar,Itanagar,Arunachal Pradesh,India,Asia/Kolkata,1269655,2026-08-18,18,Tuesday,Kalki Jayanti,kalki jayanti,Kalki Jayanti,Kalki Jayanthi,KALKI_JAYANTHI,Yes,Yes,20,Distinct from Krishna Jayanthi; engine implemented.,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1269655&date=15/08/2026,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,CAPTURED,V7_EVENT_DETAIL_URL_CAPTURE,City-specific festival date listed on Drik Month Panchang,https://www.drikpanchang.com/dashavatara/kalki/kalki-jayanti-date-time.html?year=2026,COMPLETE
