Place Key,Location Key,City,State/Region,Country,Timezone,Geoname ID,Event Family,Event Name,Event Type,Condition Code,Cycle Anchor,Completeness Status,Date,Action Role,Special Events,Special Event Details,Note,Message,Source Module,Rule Version
,,Seattle,Washington,United States,America/Los_Angeles,5809844,KRISHNA_JAYANTHI,Sri Krishna Jayanthi,KRISHNA_JAYANTHI,ASHTAMI_ROHINI_AT_NISHITA,,COMPLETE,2026-09-03,OBSERVANCE,Sri Krishna Jayanthi,Upavaasa: 2026-09-03 | Puja Date: 2026-09-03 | Nishita Puja: 2026-09-04 12:45:00 AM to 2026-09-04 01:33:00 AM,Selection rule: ASHTAMI_ROHINI_AT_NISHITA.,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 1:09 AM, Sep 04 | Nishita Puja Time - 12:45 AM to 1:33 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja.",krishna_jayanthi_engine.py,KRISHNA_JAYANTHI_V2_1_STANDARDIZED
,,Windsor,Ontario,Canada,America/New_York,6182962,KRISHNA_JAYANTHI,Sri Krishna Jayanthi,KRISHNA_JAYANTHI,ASHTAMI_ROHINI_AT_NISHITA,,COMPLETE,2026-09-03,OBSERVANCE,Sri Krishna Jayanthi,Upavaasa: 2026-09-03 | Puja Date: 2026-09-03 | Nishita Puja: 2026-09-04 01:08:00 AM to 2026-09-04 01:56:00 AM,Selection rule: ASHTAMI_ROHINI_AT_NISHITA.,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 1:32 AM, Sep 04 | Nishita Puja Time - 1:08 AM to 1:56 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja.",krishna_jayanthi_engine.py,KRISHNA_JAYANTHI_V2_1_STANDARDIZED
,,Orlando,Florida,United States,America/New_York,4167147,KRISHNA_JAYANTHI,Sri Krishna Jayanthi,KRISHNA_JAYANTHI,ASHTAMI_ROHINI_AT_NISHITA,,COMPLETE,2026-09-03,OBSERVANCE,Sri Krishna Jayanthi,Upavaasa: 2026-09-03 | Puja Date: 2026-09-03 | Nishita Puja: 2026-09-04 01:01:00 AM to 2026-09-04 01:49:00 AM,Selection rule: ASHTAMI_ROHINI_AT_NISHITA.,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 1:25 AM, Sep 04 | Nishita Puja Time - 1:01 AM to 1:49 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja.",krishna_jayanthi_engine.py,KRISHNA_JAYANTHI_V2_1_STANDARDIZED
,,Tampa,Florida,United States,America/New_York,4174757,KRISHNA_JAYANTHI,Sri Krishna Jayanthi,KRISHNA_JAYANTHI,ASHTAMI_ROHINI_AT_NISHITA,,COMPLETE,2026-09-03,OBSERVANCE,Sri Krishna Jayanthi,Upavaasa: 2026-09-03 | Puja Date: 2026-09-03 | Nishita Puja: 2026-09-04 01:05:00 AM to 2026-09-04 01:53:00 AM,Selection rule: ASHTAMI_ROHINI_AT_NISHITA.,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 1:29 AM, Sep 04 | Nishita Puja Time - 1:05 AM to 1:53 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja.",krishna_jayanthi_engine.py,KRISHNA_JAYANTHI_V2_1_STANDARDIZED
,,Atlanta,Georgia,United States,America/New_York,4180439,KRISHNA_JAYANTHI,Sri Krishna Jayanthi,KRISHNA_JAYANTHI,ASHTAMI_ROHINI_AT_NISHITA,,COMPLETE,2026-09-03,OBSERVANCE,Sri Krishna Jayanthi,Upavaasa: 2026-09-03 | Puja Date: 2026-09-03 | Nishita Puja: 2026-09-04 01:13:00 AM to 2026-09-04 02:01:00 AM,Selection rule: ASHTAMI_ROHINI_AT_NISHITA.,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 1:37 AM, Sep 04 | Nishita Puja Time - 1:13 AM to 2:01 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja.",krishna_jayanthi_engine.py,KRISHNA_JAYANTHI_V2_1_STANDARDIZED
,,Baltimore,Maryland,United States,America/New_York,4347778,KRISHNA_JAYANTHI,Sri Krishna Jayanthi,KRISHNA_JAYANTHI,ASHTAMI_ROHINI_AT_NISHITA,,COMPLETE,2026-09-03,OBSERVANCE,Sri Krishna Jayanthi,Upavaasa: 2026-09-03 | Puja Date: 2026-09-03 | Nishita Puja: 2026-09-04 12:42:00 AM to 2026-09-04 01:30:00 AM,Selection rule: ASHTAMI_ROHINI_AT_NISHITA.,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 1:06 AM, Sep 04 | Nishita Puja Time - 12:42 AM to 1:30 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja.",krishna_jayanthi_engine.py,KRISHNA_JAYANTHI_V2_1_STANDARDIZED
,,New Jersey,New Jersey,United States,America/New_York,5099836,KRISHNA_JAYANTHI,Sri Krishna Jayanthi,KRISHNA_JAYANTHI,ASHTAMI_ROHINI_AT_NISHITA,,COMPLETE,2026-09-03,OBSERVANCE,Sri Krishna Jayanthi,Upavaasa: 2026-09-03 | Puja Date: 2026-09-03 | Nishita Puja: 2026-09-04 12:31:30 AM to 2026-09-04 01:19:30 AM,Selection rule: ASHTAMI_ROHINI_AT_NISHITA.,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 12:55 AM, Sep 04 | Nishita Puja Time - 12:31 AM to 1:19 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja.",krishna_jayanthi_engine.py,KRISHNA_JAYANTHI_V2_1_STANDARDIZED
,,Belfast,New York,United States,America/New_York,5108728,KRISHNA_JAYANTHI,Sri Krishna Jayanthi,KRISHNA_JAYANTHI,ASHTAMI_ROHINI_AT_NISHITA,,COMPLETE,2026-09-03,OBSERVANCE,Sri Krishna Jayanthi,Upavaasa: 2026-09-03 | Puja Date: 2026-09-03 | Nishita Puja: 2026-09-04 12:48:00 AM to 2026-09-04 01:36:00 AM,Selection rule: ASHTAMI_ROHINI_AT_NISHITA.,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 1:12 AM, Sep 04 | Nishita Puja Time - 12:48 AM to 1:36 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja.",krishna_jayanthi_engine.py,KRISHNA_JAYANTHI_V2_1_STANDARDIZED
,,Buffalo,New York,United States,America/New_York,5110629,KRISHNA_JAYANTHI,Sri Krishna Jayanthi,KRISHNA_JAYANTHI,ASHTAMI_ROHINI_AT_NISHITA,,COMPLETE,2026-09-03,OBSERVANCE,Sri Krishna Jayanthi,Upavaasa: 2026-09-03 | Puja Date: 2026-09-03 | Nishita Puja: 2026-09-04 12:51:30 AM to 2026-09-04 01:39:30 AM,Selection rule: ASHTAMI_ROHINI_AT_NISHITA.,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 1:15 AM, Sep 04 | Nishita Puja Time - 12:51 AM to 1:39 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja.",krishna_jayanthi_engine.py,KRISHNA_JAYANTHI_V2_1_STANDARDIZED
,,Greece,New York,United States,America/New_York,5119251,KRISHNA_JAYANTHI,Sri Krishna Jayanthi,KRISHNA_JAYANTHI,ASHTAMI_ROHINI_AT_NISHITA,,COMPLETE,2026-09-03,OBSERVANCE,Sri Krishna Jayanthi,Upavaasa: 2026-09-03 | Puja Date: 2026-09-03 | Nishita Puja: 2026-09-04 12:46:00 AM to 2026-09-04 01:34:00 AM,Selection rule: ASHTAMI_ROHINI_AT_NISHITA.,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 1:10 AM, Sep 04 | Nishita Puja Time - 12:46 AM to 1:34 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja.",krishna_jayanthi_engine.py,KRISHNA_JAYANTHI_V2_1_STANDARDIZED
