Festival Date,Upavaasa Date,City,State/Region,Country,Timezone,Geoname ID,Festival,Sunsign,Amanta Maasa,Paksha,Vaara,Ashtami Start,Ashtami End,Rohini Start,Rohini End,Ashtami-Rohini Overlap Start,Ashtami-Rohini Overlap End,Candidate Sunset,Next Sunrise,Calculated Nishita Madhya,Calculated Puja Start,Calculated Puja End,Qualifying Nishita Count In Joint Overlap,Qualifying Nishita Sequence,Nishita Selection Note,Saptami Viddha Ashtami,No-Overlap Case,No-Overlap Rule,Decision Rule,Budhavara,Needs Review,Review Reason,Final Message
2026-09-03,2026-09-03,Seattle,Washington,United States,America/Los_Angeles,5809844,Sri Krishna Jayanthi,Simha,Shravana,Krishna Paksha,Guruwara,2026-09-03 01:55:00 PM,2026-09-04 11:43:00 AM,2026-09-03 11:59:00 AM,2026-09-04 10:34:00 AM,2026-09-03 01:55:00 PM,2026-09-04 10:34:00 AM,2026-09-03 07:46:00 PM,2026-09-04 06:32:00 AM,2026-09-04 01:09:00 AM,2026-09-04 12:45:00 AM,2026-09-04 01:33:00 AM,1,1,Only one Nishita falls inside the Ashtami-Rohini joint overlap.,False,,,ASHTAMI_ROHINI_AT_NISHITA,False,False,,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 1:09 AM, Sep 04 | Nishita Puja Time - 12:45 AM to 1:33 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja."
2026-09-03,2026-09-03,Windsor,Ontario,Canada,America/New_York,6182962,Sri Krishna Jayanthi,Simha,Shravana,Krishna Paksha,Guruwara,2026-09-03 04:55:00 PM,2026-09-04 02:43:00 PM,2026-09-03 02:59:00 PM,2026-09-04 01:34:00 PM,2026-09-03 04:55:00 PM,2026-09-04 01:34:00 PM,2026-09-03 08:03:00 PM,2026-09-04 07:01:00 AM,2026-09-04 01:32:00 AM,2026-09-04 01:08:00 AM,2026-09-04 01:56:00 AM,1,1,Only one Nishita falls inside the Ashtami-Rohini joint overlap.,False,,,ASHTAMI_ROHINI_AT_NISHITA,False,False,,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 1:32 AM, Sep 04 | Nishita Puja Time - 1:08 AM to 1:56 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja."
2026-09-03,2026-09-03,Orlando,Florida,United States,America/New_York,4167147,Sri Krishna Jayanthi,Simha,Shravana,Krishna Paksha,Guruwara,2026-09-03 04:55:00 PM,2026-09-04 02:43:00 PM,2026-09-03 02:59:00 PM,2026-09-04 01:34:00 PM,2026-09-03 04:55:00 PM,2026-09-04 01:34:00 PM,2026-09-03 07:45:00 PM,2026-09-04 07:05:00 AM,2026-09-04 01:25:00 AM,2026-09-04 01:01:00 AM,2026-09-04 01:49:00 AM,1,1,Only one Nishita falls inside the Ashtami-Rohini joint overlap.,False,,,ASHTAMI_ROHINI_AT_NISHITA,False,False,,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 1:25 AM, Sep 04 | Nishita Puja Time - 1:01 AM to 1:49 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja."
2026-09-03,2026-09-03,Tampa,Florida,United States,America/New_York,4174757,Sri Krishna Jayanthi,Simha,Shravana,Krishna Paksha,Guruwara,2026-09-03 04:55:00 PM,2026-09-04 02:43:00 PM,2026-09-03 02:59:00 PM,2026-09-04 01:34:00 PM,2026-09-03 04:55:00 PM,2026-09-04 01:34:00 PM,2026-09-03 07:48:00 PM,2026-09-04 07:10:00 AM,2026-09-04 01:29:00 AM,2026-09-04 01:05:00 AM,2026-09-04 01:53:00 AM,1,1,Only one Nishita falls inside the Ashtami-Rohini joint overlap.,False,,,ASHTAMI_ROHINI_AT_NISHITA,False,False,,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 1:29 AM, Sep 04 | Nishita Puja Time - 1:05 AM to 1:53 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja."
2026-09-03,2026-09-03,Atlanta,Georgia,United States,America/New_York,4180439,Sri Krishna Jayanthi,Simha,Shravana,Krishna Paksha,Guruwara,2026-09-03 04:55:00 PM,2026-09-04 02:43:00 PM,2026-09-03 02:59:00 PM,2026-09-04 01:34:00 PM,2026-09-03 04:55:00 PM,2026-09-04 01:34:00 PM,2026-09-03 08:00:00 PM,2026-09-04 07:14:00 AM,2026-09-04 01:37:00 AM,2026-09-04 01:13:00 AM,2026-09-04 02:01:00 AM,1,1,Only one Nishita falls inside the Ashtami-Rohini joint overlap.,False,,,ASHTAMI_ROHINI_AT_NISHITA,False,False,,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 1:37 AM, Sep 04 | Nishita Puja Time - 1:13 AM to 2:01 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja."
2026-09-03,2026-09-03,Baltimore,Maryland,United States,America/New_York,4347778,Sri Krishna Jayanthi,Simha,Shravana,Krishna Paksha,Guruwara,2026-09-03 04:55:00 PM,2026-09-04 02:43:00 PM,2026-09-03 02:59:00 PM,2026-09-04 01:34:00 PM,2026-09-03 04:55:00 PM,2026-09-04 01:34:00 PM,2026-09-03 07:34:00 PM,2026-09-04 06:38:00 AM,2026-09-04 01:06:00 AM,2026-09-04 12:42:00 AM,2026-09-04 01:30:00 AM,1,1,Only one Nishita falls inside the Ashtami-Rohini joint overlap.,False,,,ASHTAMI_ROHINI_AT_NISHITA,False,False,,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 1:06 AM, Sep 04 | Nishita Puja Time - 12:42 AM to 1:30 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja."
2026-09-03,2026-09-03,New Jersey,New Jersey,United States,America/New_York,5099836,Sri Krishna Jayanthi,Simha,Shravana,Krishna Paksha,Guruwara,2026-09-03 04:55:00 PM,2026-09-04 02:43:00 PM,2026-09-03 02:59:00 PM,2026-09-04 01:34:00 PM,2026-09-03 04:55:00 PM,2026-09-04 01:34:00 PM,2026-09-03 07:25:00 PM,2026-09-04 06:26:00 AM,2026-09-04 12:55:30 AM,2026-09-04 12:31:30 AM,2026-09-04 01:19:30 AM,1,1,Only one Nishita falls inside the Ashtami-Rohini joint overlap.,False,,,ASHTAMI_ROHINI_AT_NISHITA,False,False,,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 12:55 AM, Sep 04 | Nishita Puja Time - 12:31 AM to 1:19 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja."
2026-09-03,2026-09-03,Belfast,New York,United States,America/New_York,5108728,Sri Krishna Jayanthi,Simha,Shravana,Krishna Paksha,Guruwara,2026-09-03 04:55:00 PM,2026-09-04 02:43:00 PM,2026-09-03 02:59:00 PM,2026-09-04 01:34:00 PM,2026-09-03 04:55:00 PM,2026-09-04 01:34:00 PM,2026-09-03 07:43:00 PM,2026-09-04 06:41:00 AM,2026-09-04 01:12:00 AM,2026-09-04 12:48:00 AM,2026-09-04 01:36:00 AM,1,1,Only one Nishita falls inside the Ashtami-Rohini joint overlap.,False,,,ASHTAMI_ROHINI_AT_NISHITA,False,False,,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 1:12 AM, Sep 04 | Nishita Puja Time - 12:48 AM to 1:36 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja."
2026-09-03,2026-09-03,Buffalo,New York,United States,America/New_York,5110629,Sri Krishna Jayanthi,Simha,Shravana,Krishna Paksha,Guruwara,2026-09-03 04:55:00 PM,2026-09-04 02:43:00 PM,2026-09-03 02:59:00 PM,2026-09-04 01:34:00 PM,2026-09-03 04:55:00 PM,2026-09-04 01:34:00 PM,2026-09-03 07:47:00 PM,2026-09-04 06:44:00 AM,2026-09-04 01:15:30 AM,2026-09-04 12:51:30 AM,2026-09-04 01:39:30 AM,1,1,Only one Nishita falls inside the Ashtami-Rohini joint overlap.,False,,,ASHTAMI_ROHINI_AT_NISHITA,False,False,,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 1:15 AM, Sep 04 | Nishita Puja Time - 12:51 AM to 1:39 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja."
2026-09-03,2026-09-03,Greece,New York,United States,America/New_York,5119251,Sri Krishna Jayanthi,Simha,Shravana,Krishna Paksha,Guruwara,2026-09-03 04:55:00 PM,2026-09-04 02:43:00 PM,2026-09-03 02:59:00 PM,2026-09-04 01:34:00 PM,2026-09-03 04:55:00 PM,2026-09-04 01:34:00 PM,2026-09-03 07:42:00 PM,2026-09-04 06:38:00 AM,2026-09-04 01:10:00 AM,2026-09-04 12:46:00 AM,2026-09-04 01:34:00 AM,1,1,Only one Nishita falls inside the Ashtami-Rohini joint overlap.,False,,,ASHTAMI_ROHINI_AT_NISHITA,False,False,,"Sri Krishna Jayanthi Upavaasa - Thursday, September 03, 2026 | Upavaasa is to be observed on this day and Nishita Puja is performed during the following night. | Nishita Madhya - 1:10 AM, Sep 04 | Nishita Puja Time - 12:46 AM to 1:34 AM, Sep 04 | Duration - 00 Hours 48 Mins | After performing the Nishita Puja during the night, the fast should be broken the following morning only after completing the regular morning Puja."
